AÑO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,ACUMULACION (mm),PROMEDIO
1987,0.0,0.31,13.23,12.37,27.78,116.69,114.25,230.68,90.18,0.0,9.23,0.0,614.72,51.2
1988,0.0,0.24,51.23,19.47,50.47,95.16,133.15,97.14,97.21,10.72,0.01,0.0,554.8,46.2
1989,2.03,1.5,3.14,6.79,15.77,125.79,73.31,143.3,87.66,24.6,11.8,9.41,505.1,42.1
1990,0.0,0.93,9.96,38.09,45.82,92.27,132.35,148.63,63.16,32.84,0.0,0.0,564.05,47.0
1991,0.0,0.93,0.0,0.0,64.95,144.37,112.21,65.64,43.29,60.15,2.8,0.0,494.34,44.9
1992,39.21,18.1,10.8,9.62,30.74,26.88,94.46,221.82,105.89,70.43,0.0,1.52,629.47,57.2
1993,0.0,1.92,3.32,0.0,18.44,183.58,112.42,58.83,0.0,0.0,0.8,0.0,379.31,42.1
1994,0.04,0.01,1.1,38.55,63.02,111.91,78.51,116.27,81.95,31.61,0.0,3.6,526.57,43.9
1995,20.8,3.33,3.42,1.64,53.43,150.61,67.6,130.5,33.31,0.0,0.0,30.12,494.76,41.2
1996,0.0,0.01,2.1,6.72,20.16,49.94,64.46,51.07,86.31,30.4,0.0,0.0,311.17,25.9
1997,0.0,0.0,29.21,55.8,39.1,59.63,95.73,65.8,155.7,44.1,10.0,11.41,566.48,47.2
1998,6.8,0.0,0.0,0.02,0.01,44.61,126.96,136.94,180.43,42.49,17.02,0.0,555.28,46.3
1999,0.0,0.01,2.03,16.23,7.06,62.47,128.11,176.1,77.43,52.92,0.02,0.01,522.39,43.5
2000,0.0,0.0,0.0,0.0,0.0,151.84,203.6,120.73,67.63,86.31,11.9,0.0,642.01,71.3
2001,4.5,2.0,20.81,36.33,36.43,65.14,120.33,66.62,110.67,27.24,2.91,0.0,492.98,41.1
2002,5.8,1.21,6.71,47.84,39.56,65.14,145.64,136.03,101.06,95.54,5.75,0.0,650.28,54.2
2003,0.01,0.01,14.42,5.26,9.38,143.02,112.23,105.86,94.67,51.33,3.0,0.0,539.19,44.9
2004,26.51,0.3,18.01,21.42,42.05,168.75,83.25,115.97,133.44,27.84,2.02,0.7,640.26,53.4
2005,0.01,1.3,13.61,22.64,29.13,42.41,107.8,136.25,36.71,83.05,17.71,0.0,490.62,40.9
2006,1.51,0.0,0.01,18.64,47.64,128.62,146.74,112.55,144.33,55.66,38.52,1.4,695.62,58.0
2007,0.01,33.41,10.53,21.15,51.72,92.25,120.72,124.83,86.24,7.21,0.01,2.7,550.78,45.9
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101.55,71.35,12.12,0.0,0.0,185.02,46.3
2009,6.22,0.01,4.01,3.83,45.79,67.98,118.28,119.83,140.97,37.83,0.0,0.42,545.17,45.4
2010,31.84,72.01,4.2,9.42,23.12,27.57,130.3,131.02,45.33,0.0,0.9,0.0,475.71,39.6
2011,0.02,0.0,3.21,15.04,13.84,123.54,97.07,48.68,27.72,32.42,29.01,0.0,390.55,32.5
2012,6.21,19.53,5.12,12.25,32.78,118.05,116.25,0.0,0.0,0.0,0.0,0.0,310.19,44.3
2014,0.0,1.51,3.86,42.24,105.52,154.33,112.53,91.43,0.0,57.43,7.83,26.8,603.48,54.9
2015,0.0,11.01,56.84,41.02,126.94,107.92,99.55,125.54,99.94,0.0,2.83,1.0,672.59,61.1
2016,10.91,2.91,69.81,40.41,62.33,132.05,140.13,112.9,70.16,10.83,34.32,3.1,689.86,57.5
2017,0.0,0.01,31.44,25.87,61.86,100.66,207.56,171.62,68.7,47.51,0.0,3.1,718.33,59.9
2018,8.13,2.92,5.16,25.87,61.86,72.05,207.56,192.41,94.61,52.0,33.11,2.5,758.18,63.2
2019,3.2,9.3,0.72,28.68,13.16,100.33,157.33,104.0,42.96,67.52,20.41,0.0,547.61,45.6
2020,3.0,5.52,5.42,16.76,38.91,100.94,117.12,84.31,87.91,4.44,0.61,1.81,466.75,38.9
2021,10.0,0.01,1.44,2.52,101.4,139.8,64.3,144.91,164.23,63.63,0.6,0.01,692.85,57.7
2022,3.0,0.7,9.4,26.7,14.5,89.2,173.2,89.8,58.8,40.3,4.5,7.3,517.4,43.1
2023,0.0,0.0,37.3,9.4,31.7,18.1,149.3,116.9,92.7,56.0,53.5,6.3,571.2,47.6
2024,1.3,13.4,0.0,11.6,59.7,77.0,99.8,372.1,110.6,26.8,1.4,5.9,779.6,65.0
2025,22.5,15.1,2.5,14.5,85.3,126.6,132.7,134.8,113.0,43.3,0.0,0.0,690.3,69.0
MÍNIMA,0.0,0.0,0.0,0.0,0.01,18.1,51.6,48.68,26.9,0.0,0.0,0.0,185.02,25.9
MÁXIMA,91.0,72.01,69.81,73.2,164.0,203.21,207.56,372.1,180.9,118.6,53.5,32.7,888.6,74.0
MEDIA,8.4,6.6,12.2,22.9,49.3,103.0,128.7,125.0,92.0,43.1,8.3,4.5,587.9,50.7
DESV.ST,15.5,11.5,16.2,17.9,32.6,41.4,39.3,52.1,37.2,26.9,11.0,7.6,128.1,9.8
