AÑO,ENERO,FEBRERO,MARZO,ABRIL,MAYO,JUNIO,JULIO,AGOSTO,SEPTIEMBRE,OCTUBRE,NOVIEMBRE,DICIEMBRE,ACUMULACION (mm),PROMEDIO
1990,0.0,0.9,6.6,23.2,13.5,18.2,23.9,23.3,17.5,8.3,0.0,0.0,135.4,11.3
1991,0.0,0.9,0.0,0.0,16.4,46.6,19.4,14.8,9.7,23.9,1.6,0.0,133.3,12.1
1992,14.8,11.5,6.5,5.1,9.3,11.6,9.6,41.8,34.9,16.7,0.0,1.5,163.3,14.8
1993,0.0,0.8,2.5,0.0,14.5,39.5,22.8,9.4,0.0,0.0,0.8,0.0,90.3,10.0
1994,0.01,0.01,1.1,9.0,17.5,13.1,20.7,17.2,18.3,7.3,0.0,2.8,107.02,8.9
1995,17.3,1.9,1.9,0.8,16.8,19.8,12.4,22.3,4.9,0.0,0.0,11.2,109.3,9.1
1996,0.0,0.01,2.1,2.9,3.8,7.5,14.1,14.0,16.9,9.7,0.0,0.0,71.01,5.9
1997,0.0,0.0,9.0,23.0,9.8,17.4,13.2,11.6,59.9,15.1,2.9,5.1,167.0,13.9
1998,4.9,0.0,0.0,0.01,0.01,8.3,37.1,27.5,27.3,9.8,6.3,0.0,121.22,10.1
1999,0.0,0.01,1.5,16.2,2.8,25.9,27.5,23.8,17.1,13.3,0.01,0.01,128.13,10.7
2000,0.0,0.0,0.0,0.0,0.0,27.1,48.5,24.9,31.8,41.3,7.6,0.0,181.2,20.1
2001,4.5,1.2,13.7,8.1,7.7,17.2,17.2,18.6,23.5,13.1,2.9,0.0,127.7,10.6
2002,4.5,0.9,3.5,16.8,19.0,29.8,40.2,33.6,22.9,19.7,3.6,0.0,194.5,16.2
2003,0.01,0.01,13.4,3.2,6.1,23.8,23.0,30.3,22.4,17.7,1.6,0.0,141.52,11.8
2004,7.8,0.3,13.8,7.8,13.1,32.3,15.1,24.4,29.8,9.7,2.0,0.7,156.8,13.1
2005,0.01,0.9,9.6,13.5,14.2,18.1,16.6,26.4,21.4,47.3,10.8,0.0,178.81,14.9
2006,1.5,0.0,0.01,9.7,17.1,30.6,30.5,22.3,28.5,20.5,18.3,0.8,179.81,15.0
2007,0.01,13.9,4.5,10.8,14.1,20.5,19.6,44.1,21.5,3.0,0.01,2.7,154.72,12.9
2008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.8,18.4,3.9,0.0,0.0,57.1,14.3
2009,3.8,0.01,1.8,3.4,10.5,16.4,22.8,26.9,27.4,14.6,0.0,0.4,128.01,10.7
2010,11.8,26.7,2.2,4.8,10.5,4.8,20.5,24.8,15.6,0.0,0.9,0.0,122.6,10.2
2011,0.01,0.0,2.5,9.3,6.7,32.5,14.5,8.4,8.5,10.4,8.4,0.0,101.21,8.4
2012,5.5,8.4,3.8,5.3,11.8,16.5,20.5,0.0,0.0,0.0,0.0,0.0,71.8,10.3
2014,0.0,1.5,1.7,14.5,20.0,42.7,20.2,24.5,0.0,15.6,4.2,25.7,170.6,15.5
2015,0.0,5.5,19.2,23.2,28.0,19.0,28.8,59.3,22.5,0.0,2.1,1.0,208.6,19.0
2016,6.5,2.9,28.0,19.5,15.5,27.2,33.0,30.5,17.3,4.8,12.7,3.1,201.0,16.8
2017,0.0,0.01,10.6,7.9,14.5,29.4,41.3,31.5,11.1,21.0,0.0,3.1,170.41,14.2
2018,4.3,1.8,2.3,7.9,14.5,18.3,41.3,41.5,24.9,10.2,11.7,2.5,181.2,15.1
2019,3.1,7.3,0.5,10.0,4.5,18.0,19.2,31.5,11.8,17.4,15.1,0.0,138.4,11.5
2020,1.5,5.5,4.9,7.0,13.5,30.5,30.3,20.5,35.5,4.1,0.6,1.1,155.0,12.9
2021,5.7,0.01,1.2,1.0,55.4,24.1,9.8,41.2,32.2,27.6,0.6,0.01,198.82,16.6
2022,2.7,0.4,5.1,13.0,4.8,19.8,40.5,19.8,13.8,19.0,1.8,5.9,146.6,12.2
2023,0.0,0.0,25.2,4.1,10.2,7.4,23.9,30.5,17.1,20.5,22.5,4.5,165.9,13.8
2024,1.3,9.6,0.0,9.1,21.0,18.3,17.5,52.5,19.4,12.3,1.0,5.8,167.8,14.0
2025,14.1,5.6,1.3,11.5,21.7,35.8,28.5,30.2,21.2,11.8,0.0,0.0,181.7,18.2
MÍNIMA,0.0,0.0,0.0,0.0,0.01,4.8,9.6,8.4,4.9,0.0,0.0,0.0,57.1,5.9
MÁXIMA,58.5,26.7,45.8,28.5,80.2,48.4,48.5,73.2,59.9,47.3,22.5,25.7,253.5,21.1
MEDIA,4.8,3.8,7.5,10.1,15.9,23.3,25.1,27.9,22.9,15.5,4.4,3.2,159.4,13.7
DESV.ST,8.8,5.4,9.6,7.2,12.8,9.8,9.4,12.2,9.7,10.6,5.0,5.2,40.2,3.2
